artist,career_span_years,avg_chart_rank,total_weeks_on_chart,grammy_wins,grammy_nominations,avg_danceability,avg_energy
Trini Lopez,5,57.52,409,0,1,,
Wayne Wonder,0,35.81,495,0,1,,
Otis Redding,6,57.17,806,1,3,0.533,0.845
Shirley Brown,1,51.19,106,0,1,,
Jon B. Featuring Babyface,0,28.4,464,0,1,,
John Fogerty,11,55.29,425,1,8,,
Peso Pluma,0,69.24,312,1,2,,
Sister Janet Mead,0,24.92,90,0,1,,
Cam'Ron Featuring Juelz Santana,0,22.71,230,0,1,,
The Tokens,33,55.18,496,0,1,,
Kenny G,13,56.88,1111,0,14,,
Boz Scaggs,17,47.68,1331,0,5,,
Eydie Gorme,12,60.88,312,1,4,,
Jack Greene,0,80.56,44,0,3,,
Supertramp,10,42.91,893,0,3,,
Counting Crows,5,51.15,418,0,2,,
Les Crane,0,28.25,77,1,1,,
k.d. lang,18,64.95,170,2,6,,
Pistol Annies,0,79.33,5,0,1,,
Gin Blossoms,3,39.35,1961,0,1,,
Arcade Fire,0,99.0,1,1,8,,
Steve Wariner,0,62.56,313,1,3,,
Gerry Rafferty,2,40.37,597,0,2,,
Alejandro Sanz,0,100.0,1,4,6,,
Dwight Yoakam,6,80.7,108,1,13,,
David Gray,1,71.67,170,0,1,,
John Gary,0,92.5,9,0,2,,
The Monkees,21,38.73,902,0,4,0.494,0.839
Crash Test Dummies,3,47.95,373,0,3,,
Thomas Rhett,13,60.28,3921,0,2,,
Travis Tritt,4,59.07,800,0,3,,
Vincent Bell,0,44.13,35,0,1,,
Domenico Modugno,1,19.19,135,1,2,,
Starship,6,46.45,1280,0,1,,
Seal,13,45.26,1727,2,13,,
Drake & 21 Savage,1,45.37,1014,0,3,,
Hank Locklin,0,32.27,252,0,2,,
Fergie,10,25.57,2281,0,1,,
Adam Lambert,6,53.55,832,0,1,,
Billy Gilman,1,74.22,279,0,1,,
Justin Bieber Featuring Quavo,0,16.16,495,0,1,,
Al B. Sure!,5,61.73,685,0,2,,
Bee Gees,31,37.26,4330,2,4,0.587,0.878
Melba Moore,3,76.42,41,0,3,,
Duncan Sheik,1,32.58,1539,0,1,,
O.C. Smith,6,56.83,462,0,2,,
Jaheim,10,64.63,782,0,2,,
Wynonna,11,86.31,123,0,3,,
